regime,seed,n,d,k,gamma,factorization_tv,selected_order_name,selected_pool_weight,selected_soft_weight,selected_soft_lambda,method,expected_nll,expected_brier,tv_to_truth,js_to_truth,marginal_distortion
uniform_low_noise,0,2200,12,3,2.0,0.0728429879278044,j1_b_then_a,0.5,0.5,0.03,j1,1.439889364777518,0.6733784360884089,0.050994759634335335,0.002379733201054285,0.02535860272826405
uniform_low_noise,0,2200,12,3,2.0,0.0728429879278044,j1_b_then_a,0.5,0.5,0.03,j2,1.4399371340793665,0.6734001948162889,0.05095821438470717,0.0023853943194811307,0.0239614586984648
uniform_low_noise,0,2200,12,3,2.0,0.0728429879278044,j1_b_then_a,0.5,0.5,0.03,selected_order,1.439889364777518,0.6733784360884089,0.050994759634335335,0.002379733201054285,0.02535860272826405
uniform_low_noise,0,2200,12,3,2.0,0.0728429879278044,j1_b_then_a,0.5,0.5,0.03,independent,1.6865235004317867,0.7218882349413107,0.25252358480118975,0.0675851550764266,3.937499083228812e-17
uniform_low_noise,0,2200,12,3,2.0,0.0728429879278044,j1_b_then_a,0.5,0.5,0.03,arithmetic,1.4350148260541244,0.6715485698979402,0.03574784194457336,0.0011689057928506894,0.024660030713364412
uniform_low_noise,0,2200,12,3,2.0,0.0728429879278044,j1_b_then_a,0.5,0.5,0.03,geometric,1.4350127391413343,0.6715517616388234,0.03575435469611736,0.001167275055310959,0.024649827710362684
uniform_low_noise,0,2200,12,3,2.0,0.0728429879278044,j1_b_then_a,0.5,0.5,0.03,weighted_geometric,1.4350127391413343,0.6715517616388234,0.03575435469611736,0.001167275055310959,0.024649827710362684
uniform_low_noise,0,2200,12,3,2.0,0.0728429879278044,j1_b_then_a,0.5,0.5,0.03,hard_core,1.450029770148262,0.6743826990759584,0.06204465947859725,0.004845749378413826,2.883469193535539e-14
uniform_low_noise,0,2200,12,3,2.0,0.0728429879278044,j1_b_then_a,0.5,0.5,0.03,soft_core_0.1,1.4352189118313488,0.6716125418720914,0.03646153463129735,0.001218545539742838,0.02323164269725106
uniform_low_noise,0,2200,12,3,2.0,0.0728429879278044,j1_b_then_a,0.5,0.5,0.03,soft_core_1,1.4370890166314398,0.6721248182730092,0.0420193011868352,0.0016829665361891447,0.016267955410375207
uniform_low_noise,0,2200,12,3,2.0,0.0728429879278044,j1_b_then_a,0.5,0.5,0.03,soft_core_10,1.4444684136603392,0.6735602346039566,0.055541089804233265,0.0034986615809038724,0.004875165908581594
uniform_low_noise,0,2200,12,3,2.0,0.0728429879278044,j1_b_then_a,0.5,0.5,0.03,adaptive_soft,1.4350729539985658,0.6715695007114822,0.03596281996668912,0.0011822495348711656,0.024196013640916558
uniform_low_noise,1,2200,12,3,2.0,0.07385308758670041,j1_b_then_a,0.75,0.75,0.03,j1,1.4587073128139258,0.6859822644285117,0.052212143253424076,0.0024360885870070084,0.02681294549915495
uniform_low_noise,1,2200,12,3,2.0,0.07385308758670041,j1_b_then_a,0.75,0.75,0.03,j2,1.4584742221980753,0.6858826447054648,0.05172461040746479,0.0023795007193691863,0.015380807698372629
uniform_low_noise,1,2200,12,3,2.0,0.07385308758670041,j1_b_then_a,0.75,0.75,0.03,selected_order,1.4587073128139258,0.6859822644285117,0.052212143253424076,0.0024360885870070084,0.02681294549915495
