method,mean_nll,se_nll,mean_full_oracle_regret,median_full_oracle_regret,within_1e-4_of_oracle
selective_core,1.4983812685137445,0.007410331415369698,0.0013166039587213776,0.00035779613635078533,22
arithmetic,1.504194354933656,0.007497955441793135,0.00712969037863281,0.004983365034950116,13
geometric,1.5051790422852742,0.0075320844398145985,0.008114377730251247,0.005357834946658868,7
soft_core_1,1.5142029130954575,0.008111412499202959,0.017138248540434532,0.010203549463546957,1
j2,1.5164488351958854,0.009159650212265806,0.019384170640862668,0.0033158564295641124,7
j1,1.532220734655432,0.009006696501341538,0.03515607010040882,0.02818145743238598,2
hard_core,1.548321879620431,0.011195400742375669,0.05125721506540799,0.03248175264774322,0
