regime,method,expected_nll_mean,expected_nll_se,tv_to_truth_mean,js_to_truth_mean,marginal_distortion_mean
all_noisy,adaptive_soft,1.5156396451440899,0.011947862570188128,0.13495840197084163,0.016356513652005737,0.08085823600082369
all_noisy,arithmetic,1.5124902106659717,0.011628265754373358,0.1322797818080635,0.015794396674851375,0.08253960221832533
all_noisy,geometric,1.5126844538139754,0.01165333694886337,0.13225387372216985,0.015672086809232808,0.08243089311203229
all_noisy,hard_core,1.6376586003482116,0.01331742905888093,0.20766633044379534,0.04272581636999591,1.844834324263632e-14
all_noisy,independent,1.7475123366733158,0.022593634398439963,0.2731233432250091,0.07254612068380066,4.1977684681687344e-17
all_noisy,j1,1.575765113337566,0.012129280269135794,0.18350727140519638,0.029939345439442717,0.08744156547563824
all_noisy,j2,1.5743685586117298,0.012026018207396795,0.18245334003336416,0.029633637182943318,0.07763763896101246
all_noisy,selected_order,1.5752227286029883,0.012073335515041419,0.18326245939738944,0.029836111089368435,0.08606388697109352
all_noisy,soft_core_0.1,1.515319215379469,0.011698020266694973,0.13461277704756103,0.016285945209917503,0.07675717043804017
all_noisy,soft_core_1,1.5387960595908503,0.011948601911370394,0.15361200757313426,0.02166068630614413,0.0495851380229639
all_noisy,soft_core_10,1.605940820281217,0.012471042741884942,0.19324642036690826,0.03623362691491444,0.012157398616643044
all_noisy,weighted_geometric,1.5150110994678176,0.011955995235195626,0.13440896272656067,0.016209913193169192,0.082677508545667
conditionals_reliable,adaptive_soft,1.484901462144789,0.01110154801252884,0.1019616773596187,0.009385613212976292,0.06986623137318684
conditionals_reliable,arithmetic,1.4814623723523836,0.011016848633562379,0.098140945987231,0.008610338652892895,0.07149337553749853
conditionals_reliable,geometric,1.4827923423314158,0.011046368340096289,0.0999673410556067,0.008886909446696711,0.07064079392077502
conditionals_reliable,hard_core,1.623727723304248,0.012736186420501077,0.20342155888981855,0.0405958624234394,3.006967871270685e-14
conditionals_reliable,independent,1.745593882699825,0.02261828842293093,0.2730000280127259,0.07246120380953089,4.183509482437404e-17
conditionals_reliable,j1,1.5141413591249528,0.011253140454731875,0.12659267220059717,0.016052561993345964,0.07479808115820633
