Model,Accuracy,Macro Precision,Macro Recall,Macro F1,Weighted F1,Training Time,Inference Time
BiLSTM,0.5947574080104201,0.5847085842035542,0.5854159380371875,0.5850254981266665,0.594693430780683,103.9698896408081,1.1334059238433838
LinearSVC,0.5849886030608922,0.581111259104901,0.5776952545284791,0.5683589110448337,0.5799461706751888,7.348456859588623,0.6169536113739014
Logistic Regression,0.5930478671442527,0.6041223905759204,0.5680344845770611,0.5609931347716716,0.5759379397284156,29.023176908493042,0.8844318389892578
MultinomialNB,0.5772549658091827,0.57798677314589,0.5605297533074152,0.555966074806074,0.5688025097857807,5.304715633392334,1.3435842990875244
VADER,0.5296320416802345,0.5385669205601338,0.5598032128108553,0.5261702706272383,0.5373638187064749,N/A,2.7590694427490234
DummyClassifier,0.4833116248778899,0.16110387495929665,0.3333333333333333,0.217221886833873,0.3149575892541609,0.0027451515197753906,0.0010132789611816406
