index,precision,recall,f1-score,support
negative,0.6413793103448275,0.4214501510574018,0.5086599817684594,3972.0
neutral,0.6012944009632751,0.6728987704227725,0.6350846514585486,5937.0
positive,0.5006600660066006,0.6387368421052632,0.5613320999074931,2375.0
accuracy,0.5849886030608922,0.5849886030608922,0.5849886030608922,0.5849886030608922
macro avg,0.581111259104901,0.5776952545284791,0.5683589110448337,12284.0
weighted avg,0.5947990179073832,0.5849886030608922,0.5799461706751888,12284.0
