index,precision,recall,f1-score,support
negative,0.5772295039835518,0.5654582074521651,0.5712832252320997,3972.0
neutral,0.6224899598393574,0.6265790803436079,0.6245278267438932,5937.0
positive,0.5544062887877534,0.5642105263157895,0.5592654424040067,2375.0
accuracy,0.5947574080104201,0.5947574080104201,0.5947574080104201,0.5947574080104201
macro avg,0.5847085842035542,0.5854159380371875,0.5850254981266665,12284.0
weighted avg,0.5946917467648849,0.5947574080104201,0.594693430780683,12284.0
