Representation,CV Macro F1,CV SD,Test Macro F1,Test Weighted F1,Test Accuracy
Word TF-IDF (1-2gram),0.621,0.0037,0.5684,0.5799,0.585
Char TF-IDF (2-5gram),0.6386,0.0037,0.59,0.6025,0.6072
