Model,Accuracy,Macro Precision,Macro Recall,Macro F1,Weighted F1,Training Time,Inference Time
LinearSVC,0.8128415300546448,0.7914054075509012,0.7175115301910543,0.7468480393324034,0.8055826851489563,0.7471489906311035,0.058705806732177734
Logistic Regression,0.7982695810564663,0.7888510925908186,0.6727121701403158,0.7121799927979793,0.7843377338267612,3.726616144180298,0.19882750511169434
MultinomialNB,0.7782331511839709,0.7639274452563987,0.6518889369327304,0.6895018447873632,0.7616379477186492,3.095043420791626,0.12965607643127441
VADER,0.5432604735883424,0.5457989802838701,0.6061294809319552,0.5163473466099616,0.5651453797111478,N/A,1.9379076957702637
DummyClassifier,0.6270491803278688,0.20901639344262293,0.3333333333333333,0.25692695214105793,0.4833175042325639,0.009527921676635742,0.0007557868957519531
