Seed,Best Epoch,Val Macro F1,Test Macro F1,Test Weighted F1,Test Accuracy,Training Time (s),Inference Time (s),Parameters
42,2,0.7553,0.751,0.8073,0.8097,12.6,0.5117,2027267
123,2,0.7297,0.7477,0.806,0.8106,20.1,0.3402,2027267
2026,2,0.745,0.7316,0.7906,0.796,12.6,0.3059,2027267
