index,precision,recall,f1-score,support
negative,0.8639218422889045,0.8990559186637618,0.8811387900355871,1377.0
neutral,0.6717724288840262,0.6602150537634408,0.665943600867679,465.0
positive,0.761437908496732,0.6581920903954802,0.706060606060606,354.0
accuracy,0.8096539162112932,0.8096539162112932,0.8096539162112932,0.8096539162112932
macro avg,0.7657107265565543,0.7391543542742275,0.7510476656546241,2196.0
weighted avg,0.8067138323637235,0.8096539162112932,0.8073485167704593,2196.0
