index,precision,recall,f1-score,support
negative,0.8385416666666666,0.9353667392883079,0.8843117061448679,1377.0
neutral,0.6959798994974874,0.5956989247311828,0.641946697566628,465.0
positive,0.8396946564885496,0.6214689265536724,0.7142857142857143,354.0
accuracy,0.8128415300546448,0.8128415300546448,0.8128415300546448,0.8128415300546448
macro avg,0.7914054075509012,0.7175115301910543,0.7468480393324034,2196.0
weighted avg,0.8085402717045893,0.8128415300546448,0.8055826851489563,2196.0
