Representation,CV Macro F1,CV SD,Test Macro F1,Test Weighted F1,Test Accuracy
Word TF-IDF (1-2gram),0.7367,0.0086,0.7468,0.8056,0.8128
Char TF-IDF (2-5gram),0.7523,0.0061,0.7457,0.8062,0.8124
