Model,Representation,Macro F1,Weighted F1,Accuracy,CV Macro F1,CV SD,Training Time,Inference Latency,Parameters,Model Size (MB)
Logistic Regression,Word TF-IDF (1-2gram),0.7122,0.7843,0.7983,0.7124,0.0117,3.7s,0.199s,N/A,N/A
LinearSVC,Word TF-IDF (1-2gram),0.7468,0.8056,0.8128,0.7367,0.0086,0.7s,0.059s,N/A,N/A
Char TF-IDF + LinearSVC,Char TF-IDF (2-5gram),0.7457,0.8062,0.8124,0.7523,0.0061,2.2s,0.378s,N/A,N/A
BiLSTM,Embedding + BiLSTM,0.751,0.8073,0.8097,N/A,N/A,20.4s,0.592s,2027267,23.25
Twitter-RoBERTa,Transformer (125M),0.8157,0.8602,0.8593,N/A,N/A,355.2s,4.606s,124647939,2860.19
