dataset,selective_minus_arithmetic
anneal,-0.0002531057772836576
car,0.0019657309880017904
credit,0.0023208671971753914
customer,0.002708862701893522
diamonds,0.0022614126016986535
marketing,-0.0018183280581682837
mic,0.000747658462004086
nursery,0.0014585841485771356
phishing,0.007227958275317192
wine,0.0016929913552277132
