dataset,model,family,joint_nll_mean,marginal_distortion_mean
anneal,catboost,full,0.8947758623241315,0.029196141446530027
anneal,catboost,pool_only,0.89397972273356,0.03158109488607678
anneal,catboost,raw_only,0.89397972273356,0.03158109488607678
anneal,catboost,repair_only,0.893525041083677,0.028388200432303168
anneal,tabiclv2,full,0.3527349248791943,0.005828052626844586
anneal,tabiclv2,pool_only,0.35366114607687404,0.008400403630299499
anneal,tabiclv2,raw_only,0.35366114607687404,0.008400403630299499
anneal,tabiclv2,repair_only,0.35284588180250104,0.005690850686987046
anneal,tabpfn3,full,0.3698373938135129,0.002770621361847522
anneal,tabpfn3,pool_only,0.36577927631238205,0.00610119324275786
anneal,tabpfn3,raw_only,0.37039020937373496,0.00508212755311522
anneal,tabpfn3,repair_only,0.3698820840261776,0.002738721336742662
car,catboost,full,1.6045149326838786,0.005585463859497949
car,catboost,pool_only,1.617364329061812,0.0262646119125718
car,catboost,raw_only,1.6163982272289785,0.025367980739532902
car,catboost,repair_only,1.6045149326838786,0.005585463859497949
car,tabiclv2,full,1.276317283614566,0.034706465316571976
car,tabiclv2,pool_only,1.2753840174398814,0.03598360781138166
car,tabiclv2,raw_only,1.2764403752080793,0.03510486042503912
car,tabiclv2,repair_only,1.2788957821790308,0.03341440948714862
car,tabpfn3,full,1.2940902688532518,0.027146220703010128
car,tabpfn3,pool_only,1.2903638228305507,0.03697749631648144
car,tabpfn3,raw_only,1.3207161043140005,0.03488283637697086
car,tabpfn3,repair_only,1.3000076869662707,0.024321582556756968
credit,catboost,full,1.7400188711817184,0.01447067223229189
credit,catboost,pool_only,1.7434139472522443,0.02165661431967464
credit,catboost,raw_only,1.7462112457166419,0.02073384788637056
credit,catboost,repair_only,1.7398774086719193,0.014127750749788648
credit,tabiclv2,full,1.7367173325802774,0.013637760966696322
credit,tabiclv2,pool_only,1.7328540196509938,0.02149617395557298
credit,tabiclv2,raw_only,1.7374387808951888,0.021547749987510918
credit,tabiclv2,repair_only,1.7366679100234261,0.013441813328342243
credit,tabpfn3,full,1.7186486720677678,0.01646531348408366
credit,tabpfn3,pool_only,1.7186486720677678,0.01646531348408366
credit,tabpfn3,raw_only,1.7207675997839644,0.015505143690915341
credit,tabpfn3,repair_only,1.718781915811422,0.016096622756546462
customer,catboost,full,1.4446801755185796,0.008034693255670114
customer,catboost,pool_only,1.442084801565896,0.012637776705523199
customer,catboost,raw_only,1.4423815612326125,0.01244945396812494
customer,catboost,repair_only,1.444619753712231,0.007811666836260093
customer,tabiclv2,full,1.435256328521169,0.007787870477817219
customer,tabiclv2,pool_only,1.4323888422778057,0.0151394464124311
customer,tabiclv2,raw_only,1.4328702922823506,0.01594932306610964
customer,tabiclv2,repair_only,1.4352692322937428,0.00774549292827766
customer,tabpfn3,full,1.4211565694638326,0.0007278868277642203
customer,tabpfn3,pool_only,1.4210440727846625,0.00258182789294426
customer,tabpfn3,raw_only,1.421197125813429,0.0024382428816942
customer,tabpfn3,repair_only,1.4211588731688938,0.0007073267238508804
diamonds,catboost,full,2.7727235087372093,0.013546557190067452
diamonds,catboost,pool_only,2.770934205918048,0.027830601469172322
diamonds,catboost,raw_only,2.774754268008328,0.029869714990318756
diamonds,catboost,repair_only,2.772411377384107,0.013258663817950673
diamonds,tabiclv2,full,2.1846758261291432,0.03744241317403898
diamonds,tabiclv2,pool_only,2.1875424245452977,0.04044650504845536
diamonds,tabiclv2,raw_only,2.205386305742035,0.04208448688383224
diamonds,tabiclv2,repair_only,2.1880278884913755,0.03593918243527432
diamonds,tabpfn3,full,2.241908429908173,0.007802255885115831
diamonds,tabpfn3,pool_only,2.249872797247181,0.023313005012048478
diamonds,tabpfn3,raw_only,2.244365118053753,0.02297683787468632
diamonds,tabpfn3,repair_only,2.242105503778286,0.00766761349521967
marketing,catboost,full,1.8045912294695383,0.00480895492720426
marketing,catboost,pool_only,1.79865054142017,0.0201620695686969
marketing,catboost,raw_only,1.801409992532647,0.017244870614869182
marketing,catboost,repair_only,1.8045235251383136,0.0046702348815226
marketing,tabiclv2,full,1.757773492432646,0.0038796606414053295
marketing,tabiclv2,pool_only,1.760783200472201,0.01450873017265438
