comparison,n_cells,mean_nll_difference,bootstrap_95_ci_low,bootstrap_95_ci_high,wilcoxon_p_raw,primary_confirmatory,wilcoxon_p_holm
selective_core - arithmetic,30,0.0018111682197516576,-0.0012983931379975655,0.004939464596531752,0.1459994912147522,True,
selective_core - j1_b_then_a,30,-0.0008296420700581083,-0.004866703302409819,0.003351245247234345,0.4771064817905426,False,0.9542129635810852
selective_core - j2_a_then_b,30,-0.007607139714193118,-0.014369619982524336,-0.0017574948582445222,0.08406547829508781,False,0.33626191318035126
selective_core - geometric,30,0.0027405344665485036,-0.0002272717220895017,0.00578181668674609,0.09610157273709774,False,0.33626191318035126
selective_core - hard_core,30,-0.014024428832917648,-0.02248671636113493,-0.0064625612891484035,0.0008718203753232956,False,0.004359101876616478
selective_core - soft_core_lambda_1,30,0.0004315267739061768,-0.0024702115266189597,0.003374621876791239,0.9676735773682594,False,0.9676735773682594
