dataset,model,fold,method,joint_nll,joint_brier,joint_ece_15,conditional_nll_a_given_b,conditional_nll_b_given_a,marginal_distortion,factorization_tv,selected_policy,selected_weight,selected_lambda,n_train,n_validation,n_test,stratification
anneal,tabiclv2,1,j1_b_then_a,0.4379005838764512,0.197925468988832,0.0320167206731655,0.1045371711326951,0.3190771073844899,0.0041948501789097,0.0349764957362101,j1_b_then_a,,,256,52,128,"joint(A,B); seed=42; train-class coverage checked"
anneal,tabiclv2,1,j2_a_then_b,0.4450191280771246,0.1991190073217638,0.0628233877858351,0.1234293818298737,0.3198027569036081,0.0159279670468853,0.0349764957362101,j1_b_then_a,,,256,52,128,"joint(A,B); seed=42; train-class coverage checked"
anneal,tabiclv2,1,independent,0.4585797839172725,0.1928362806019294,0.0429317011766278,0.1252163711735164,0.333363412743756,3.44606057080327e-17,0.0349764957362101,j1_b_then_a,,,256,52,128,"joint(A,B); seed=42; train-class coverage checked"
anneal,tabiclv2,1,arithmetic,0.4330759893952801,0.1967306115489552,0.0551128668420627,0.1140271250184538,0.3123194393371694,0.0100614086128975,0.0349764957362101,j1_b_then_a,,,256,52,128,"joint(A,B); seed=42; train-class coverage checked"
anneal,tabiclv2,1,geometric,0.4357976875291685,0.1973650326941105,0.0445523295707106,0.1127243005865517,0.3112254174599685,0.0101456403709422,0.0349764957362101,j1_b_then_a,,,256,52,128,"joint(A,B); seed=42; train-class coverage checked"
anneal,tabiclv2,1,hard_core,0.4399967382870591,0.1967333066981939,0.048566293551028,0.106633325543303,0.3147803671130881,1.2974923460481766e-13,0.0349764957362101,j1_b_then_a,,,256,52,128,"joint(A,B); seed=42; train-class coverage checked"
anneal,tabiclv2,1,soft_core_lambda_1,0.4382286748766976,0.1975803983835242,0.0444889787639637,0.110850697274224,0.3127493547556735,0.0059594113619413,0.0349764957362101,j1_b_then_a,,,256,52,128,"joint(A,B); seed=42; train-class coverage checked"
anneal,tabiclv2,1,selective_core,0.4379005838764512,0.197925468988832,0.0320167206731655,0.1045371711326951,0.3190771073844899,0.0041948501789097,0.0349764957362101,j1_b_then_a,,,256,52,128,"joint(A,B); seed=42; train-class coverage checked"
anneal,tabiclv2,2,j1_b_then_a,0.3076427293843443,0.1593690045293646,0.0977508123685822,0.0310785287979806,0.2654640789045325,0.0059230518188065,0.0316945978298881,mpr,0.0,,256,52,128,"joint(A,B); seed=42; train-class coverage checked"
anneal,tabiclv2,2,j2_a_then_b,0.3175793819667871,0.1644031750742653,0.0965558888354462,0.0347553190680664,0.2703083778091501,0.012861755017463,0.0316945978298881,mpr,0.0,,256,52,128,"joint(A,B); seed=42; train-class coverage checked"
