dataset,model,method,joint_nll_mean,joint_nll_sd,joint_brier_mean,factorization_tv_mean,marginal_distortion_mean,n_folds
anneal,catboost,arithmetic,0.8748210977936669,0.11379411971958148,0.3715944171624035,0.09254675630834394,0.02402234024560488,5
anneal,catboost,geometric,0.8702951763120476,0.11105206509423618,0.3692785319733528,0.09254675630834394,0.02453751180333742,5
anneal,catboost,hard_core,0.8749625172798441,0.11799419325062561,0.3699031855416487,0.09254675630834394,3.795614765821381e-13,5
anneal,catboost,independent,0.8835996562610882,0.11700601129413839,0.37420158808157467,0.09254675630834394,5.0606999873244876e-17,5
anneal,catboost,j1_b_then_a,0.88010555996037,0.11428602038589274,0.3733939534969194,0.09254675630834394,0.0107029033571948,5
anneal,catboost,j2_a_then_b,0.8801619882677869,0.12219107428115243,0.37573146784436906,0.09254675630834394,0.03734177713401502,5
anneal,catboost,selective_core,0.8947758623241315,0.12486942805232468,0.3824320477737454,0.09254675630834394,0.029196141446530027,5
anneal,catboost,soft_core_lambda_1,0.8709817040333453,0.11343985419751858,0.36859037205284484,0.09254675630834394,0.01233682285399888,5
anneal,tabiclv2,arithmetic,0.3539787198660919,0.11076573077851126,0.1856275148077667,0.03032261138652646,0.00833252550427128,5
anneal,tabiclv2,geometric,0.35402197130166296,0.11266670773027061,0.185799212596004,0.03032261138652646,0.00852898853413126,5
anneal,tabiclv2,hard_core,0.36132438841354597,0.10990537239920938,0.18650478146204735,0.03032261138652646,1.458180693908449e-13,5
anneal,tabiclv2,independent,0.3678347152328424,0.11151656301921528,0.18639947968202653,0.03032261138652646,3.711342025460456e-17,5
anneal,tabiclv2,j1_b_then_a,0.36222045642176165,0.11527278726161849,0.188100488819697,0.03032261138652646,0.004455828104562421,5
anneal,tabiclv2,j2_a_then_b,0.35471098048866156,0.11131388342094121,0.18592221947389395,0.03032261138652646,0.01220922290398018,5
anneal,tabiclv2,selective_core,0.3527349248791943,0.10975853884614052,0.18508949672603775,0.03032261138652646,0.005828052626844586,5
anneal,tabiclv2,soft_core_lambda_1,0.3566171553107769,0.1119166918737815,0.18580387863930092,0.03032261138652646,0.00474437057769358,5
anneal,tabpfn3,arithmetic,0.36909981038118256,0.10798512347656443,0.19023844530511672,0.02381194543164642,0.00647780657037976,5
anneal,tabpfn3,geometric,0.37083202164210144,0.1104972743924496,0.19028050993333978,0.02381194543164642,0.00681741783975804,5
anneal,tabpfn3,hard_core,0.3823081327431711,0.1160982227493063,0.19240978150768254,0.02381194543164642,1.5658772663581983e-13,5
anneal,tabpfn3,independent,0.38531639904271225,0.10790537365845712,0.19398281297972342,0.02381194543164642,3.7083353231955e-17,5
anneal,tabpfn3,j1_b_then_a,0.37387248807631546,0.1139813583937121,0.19108661888281486,0.02381194543164642,0.00412746387412056,5
anneal,tabpfn3,j2_a_then_b,0.3752458065904213,0.11404527850016319,0.19098043400223585,0.02381194543164642,0.00882814926663902,5
anneal,tabpfn3,selective_core,0.3698373938135129,0.10576088708337207,0.19066118683595212,0.02381194543164642,0.002770621361847522,5
anneal,tabpfn3,soft_core_lambda_1,0.37445516534019874,0.11156847950531691,0.19094196147691414,0.02381194543164642,0.00392542582438086,5
car,catboost,arithmetic,1.6091178167257294,0.07681708910862793,0.7633184310933471,0.1116676629657724,0.02898644586253562,5
car,catboost,geometric,1.6078202814983604,0.07715601380626409,0.7634161227294388,0.1116676629657724,0.028529487292306636,5
car,catboost,hard_core,1.599297705489267,0.08115425262176057,0.7584618136162534,0.1116676629657724,4.3895878685390473e-13,5
car,catboost,independent,1.7881404339271003,0.10450255130372947,0.7964922689323806,0.1116676629657724,3.633297005270486e-17,5
car,catboost,j1_b_then_a,1.6061001201578293,0.08003150734346824,0.7579851826722256,0.1116676629657724,0.02104682578832022,5
car,catboost,j2_a_then_b,1.6300189271532601,0.08172658216340156,0.7757911948768816,0.1116676629657724,0.036926065936751004,5
car,catboost,selective_core,1.6045149326838786,0.08701485819096488,0.7590564674894086,0.1116676629657724,0.005585463859497949,5
car,catboost,soft_core_lambda_1,1.600995633687398,0.0773641564924378,0.760174081673621,0.1116676629657724,0.01642898463063772,5
car,tabiclv2,arithmetic,1.2724597658969552,0.027497788480917575,0.7030145507396103,0.09770228538821672,0.034623392511526616,5
car,tabiclv2,geometric,1.2671355779747846,0.026545864417175085,0.7026339060335343,0.09770228538821672,0.03616839511726748,5
car,tabiclv2,hard_core,1.3323805688535544,0.02749393125804949,0.7140511514300171,0.09770228538821672,2.0033654584497493e-13,5
car,tabiclv2,independent,1.6419637252728951,0.06048306309202867,0.7791648508832628,0.09770228538821672,2.4109758536955724e-17,5
car,tabiclv2,j1_b_then_a,1.2530904428148175,0.033090463368052735,0.6981809068199751,0.09770228538821672,0.0323276120443092,5
car,tabiclv2,j2_a_then_b,1.3106196187654973,0.031510724887508085,0.7162320577767046,0.09770228538821672,0.03691917297874414,5
car,tabiclv2,selective_core,1.276317283614566,0.01859553246583482,0.7055518846341471,0.09770228538821672,0.034706465316571976,5
car,tabiclv2,soft_core_lambda_1,1.2739155330757728,0.024673800185624005,0.7033329410526957,0.09770228538821672,0.02738651397886806,5
car,tabpfn3,arithmetic,1.294016324594859,0.025539292754363466,0.7073408920344866,0.111521898377862,0.034840845638922854,5
car,tabpfn3,geometric,1.2862271768380371,0.025267366545811094,0.7071591683972065,0.111521898377862,0.03718115950637294,5
car,tabpfn3,hard_core,1.3392309784351786,0.030610327903090723,0.7147727496771952,0.111521898377862,1.9205319143933228e-13,5
car,tabpfn3,independent,1.6409427001618095,0.066053424763474,0.7784412978981844,0.111521898377862,2.4376411787940768e-17,5
car,tabpfn3,j1_b_then_a,1.2607182479706833,0.030987077578757963,0.6984759784532952,0.111521898377862,0.03492141112807254,5
car,tabpfn3,j2_a_then_b,1.350784395390478,0.029979110016804672,0.725633929763796,0.111521898377862,0.03476028014977324,5
car,tabpfn3,selective_core,1.2940902688532518,0.018319075244516956,0.7078423385781777,0.111521898377862,0.027146220703010128,5
car,tabpfn3,soft_core_lambda_1,1.2905537378909637,0.026317617890839928,0.7060722499597416,0.111521898377862,0.02721361654277902,5
credit,catboost,arithmetic,1.7411598522984117,0.047463196811183245,0.7726015950103019,0.06467965654018316,0.02062766758656954,5
credit,catboost,geometric,1.7407971351578406,0.047793178850063976,0.772493383446886,0.06467965654018316,0.020549961447718902,5
credit,catboost,hard_core,1.7412407711366875,0.046457240490976597,0.7729671793167368,0.06467965654018316,2.440729503271414e-13,5
credit,catboost,independent,1.784400253750548,0.04393573186950095,0.783879204591635,0.06467965654018316,2.8175703957467046e-17,5
credit,catboost,j1_b_then_a,1.751425109914139,0.04536940237602226,0.7770641900498806,0.06467965654018316,0.017756132167628356,5
credit,catboost,j2_a_then_b,1.7375307221668952,0.04965379146182901,0.7702863240567782,0.06467965654018316,0.023499203005510737,5
credit,catboost,selective_core,1.7400188711817184,0.040441051702909486,0.7729031913025306,0.06467965654018316,0.01447067223229189,5
credit,catboost,soft_core_lambda_1,1.7398988067904646,0.04725937868913594,0.7723735678528545,0.06467965654018316,0.01058873668193014,5
credit,tabiclv2,arithmetic,1.7299050731952235,0.05352568838978661,0.7677637359150981,0.07020972561192478,0.021282096235926782,5
credit,tabiclv2,geometric,1.730394167878351,0.053638539614500644,0.7679178683992886,0.07020972561192478,0.02113871290336264,5
credit,tabiclv2,hard_core,1.741358645924985,0.05542501493220886,0.7711579842491157,0.07020972561192478,1.9392770944865268e-13,5
credit,tabiclv2,independent,1.7830356621575407,0.05461984110971518,0.780835435545884,0.07020972561192478,1.5627419063662938e-17,5
credit,tabiclv2,j1_b_then_a,1.7396674513291555,0.04683666045809066,0.7716051229824599,0.07020972561192478,0.0176388422316709,5
credit,tabiclv2,j2_a_then_b,1.730514827989661,0.060526994681647135,0.7669408561095421,0.07020972561192478,0.02492535024018264,5
