regime,method,joint_nll_mean,joint_nll_sd,tv_to_truth_mean,tax_vs_selected_mean,marginal_distortion_mean
asymmetric_j1_good,adaptive_soft,1.4630829152083478,0.06642539152136563,0.028537307849103907,0.0001545805730132477,0.013816522944795578
asymmetric_j1_good,arithmetic,1.4680721371531105,0.06655875280729948,0.04418643113419749,0.005143802517775678,0.02317465301711791
asymmetric_j1_good,geometric,1.4682091006896503,0.06691630279302081,0.044469276451536685,0.0052807660543153605,0.02335600190849915
asymmetric_j1_good,hard_core,1.4692824279671095,0.06694575625597635,0.0452905680265286,0.006354093331774799,4.2199484445849004e-14
asymmetric_j1_good,independent,1.6420512287537654,0.09831359995503536,0.20988099092635654,0.17912289411843044,4.1636213037889604e-17
asymmetric_j1_good,j1,1.4629283346353348,0.06639916316049622,0.027853440637276333,0.0,0.014860455854777325
asymmetric_j1_good,j2,1.4902931171132767,0.06856994076948632,0.083161805226459,0.027364782477942034,0.031488850179458544
asymmetric_j1_good,selected_order,1.4629283346353348,0.06639916316049622,0.027853440637276333,0.0,0.014860455854777325
asymmetric_j1_good,selective_core,1.4632184435636655,0.06644570227126075,0.028949293243643218,0.00029010892833069234,0.014985478303891518
asymmetric_j1_good,weighted_geometric,1.4631866111454883,0.06638576655281789,0.028627238113003203,0.00025827651015366995,0.016287647560426766
asymmetric_j2_good,adaptive_soft,1.4635652938954617,0.06615513243472237,0.030464186444322344,0.0006941264403155012,0.01337673180933898
asymmetric_j2_good,arithmetic,1.4693220195352545,0.06612442001499644,0.046986254787535195,0.006450852080108267,0.0245301262176809
asymmetric_j2_good,geometric,1.4696172711118114,0.0662211091231207,0.047404147647996886,0.0067461036566650815,0.02478580804904687
asymmetric_j2_good,hard_core,1.4691123771147176,0.06643838034705717,0.04539004634215889,0.006241209659571121,4.415384006428709e-14
asymmetric_j2_good,independent,1.6420512287537654,0.09831359995503536,0.20988099092635654,0.1791800612986188,4.1636213037889604e-17
asymmetric_j2_good,j1,1.49466077480286,0.06694698035458513,0.08891914503377578,0.03178960734771362,0.03508775635066757
asymmetric_j2_good,j2,1.4628711674551464,0.06653325918265514,0.028666882718269823,0.0,0.013972496084694282
asymmetric_j2_good,selected_order,1.4628711674551464,0.06653325918265514,0.028666882718269823,0.0,0.013972496084694282
asymmetric_j2_good,selective_core,1.4635719296571,0.0662235038698188,0.030776604888217873,0.0007007622019535642,0.014143991215429984
asymmetric_j2_good,weighted_geometric,1.4634407179386206,0.06618399987873828,0.030377317191814263,0.000569550483474317,0.01655346143742614
corrupted_marginals,adaptive_soft,1.4826334583518557,0.06644176941536412,0.08074702616054111,-0.018590356473593143,0.05694561570860229
corrupted_marginals,arithmetic,1.480797706313778,0.06650904225451874,0.07829382678726743,-0.020426108511670593,0.057388947110831715
corrupted_marginals,geometric,1.4812378990810646,0.06652288161107744,0.0791922869224867,-0.019985915744384148,0.05700447729370458
corrupted_marginals,hard_core,1.5690465117869037,0.0730054801336594,0.16149863469751718,0.06782269696145488,6.134513616058049e-14
corrupted_marginals,independent,1.7197836208472117,0.10229167735029827,0.25828234621995416,0.21855980602176303,4.178687022085726e-17
corrupted_marginals,j1,1.501898635035041,0.0681854744360421,0.104412282178046,0.0006748202095921974,0.05899313415645611
corrupted_marginals,j2,1.5045063436947572,0.06772875755428062,0.10946125144083611,0.00328252886930859,0.05578476006520736
corrupted_marginals,selected_order,1.5012238148254489,0.06834638674705691,0.10530360638156708,0.0,0.05843466190544229
corrupted_marginals,selective_core,1.4817659408771795,0.06656492496212804,0.0792742443902645,-0.019457873948269172,0.05753378674920273
corrupted_marginals,weighted_geometric,1.4823568129705396,0.06642663461399903,0.08023828754751675,-0.018867001854908957,0.057319531108549863
overconfident_marginals,adaptive_soft,1.5159498937343994,0.06793835547989761,0.11655549348028423,-0.02579284956464464,0.04616424550500188
overconfident_marginals,arithmetic,1.4996395333881978,0.06784674225840029,0.09933513802062154,-0.04210320991084645,0.0538147846528749
overconfident_marginals,geometric,1.513502179761754,0.06741681925954462,0.11592405337190559,-0.02824056353729011,0.045933333351494916
overconfident_marginals,hard_core,1.6113927812519862,0.07055625727099996,0.18371363301759544,0.06965003795294207,4.955529516768847e-14
overconfident_marginals,independent,1.796110410703676,0.09820176061805824,0.2497609584195503,0.2543676674046318,4.425688949598701e-17
overconfident_marginals,j1,1.5437896089541754,0.06867215967007767,0.12494015340836583,0.002046865655131289,0.054963446479836274
overconfident_marginals,j2,1.5406164480973608,0.06646914078987463,0.1290278059697764,-0.0011262952016834983,0.05266612282591358
overconfident_marginals,selected_order,1.5417427432990443,0.0670680464397961,0.12628094777777943,0.0,0.05408604466059938
overconfident_marginals,selective_core,1.4996395333881978,0.06784674225840029,0.09933513802062154,-0.04210320991084645,0.0538147846528749
overconfident_marginals,weighted_geometric,1.5146184087542267,0.06769009197335284,0.11604639232638018,-0.027124334544817507,0.046394291634789406
symmetric_moderate,adaptive_soft,1.4654725737054497,0.0662195544999363,0.039321208114353155,-0.004176339207083748,0.023170773308615472
symmetric_moderate,arithmetic,1.464737326261031,0.066194523633788,0.03675077060931331,-0.004911586651502411,0.023900008979216087
symmetric_moderate,geometric,1.4647097595866887,0.06624841260042576,0.03673807531740738,-0.004939153325844909,0.02389727050268777
symmetric_moderate,hard_core,1.4751114436944095,0.06685016943891837,0.0603004303115913,0.005462530781875987,5.0581237113792986e-14
symmetric_moderate,independent,1.6477814959030557,0.09848036757249158,0.21438969243763567,0.17813258299052204,4.159157496206689e-17
symmetric_moderate,j1,1.469877614138201,0.06631225683213,0.05194084900850675,0.00022870122566739148,0.024781696470580233
symmetric_moderate,j2,1.4692724276319935,0.06679498234803548,0.051713661921102494,-0.00037648528053995544,0.023018321487851986
symmetric_moderate,selected_order,1.4696489129125336,0.06692742379946358,0.05190628754628739,0.0,0.024155517918333248
symmetric_moderate,selective_core,1.4653541839684612,0.06611509470155978,0.03890716975023996,-0.004294728944072172,0.0237915620257551
symmetric_moderate,weighted_geometric,1.465349307640022,0.06613302966138099,0.03901560303314246,-0.004299605272511826,0.02401770906328574
trusted_marginals,adaptive_soft,1.464530204023676,0.06657939317619772,0.0267599932883473,-0.011660745152219248,0.0032740559897082204
trusted_marginals,arithmetic,1.467842642697377,0.0664182224233382,0.043157299530226706,-0.008348306478518466,0.02150318022044263
trusted_marginals,geometric,1.4678146970039967,0.06659996896986103,0.04326780560526111,-0.008376252171898524,0.021643123013909627
trusted_marginals,hard_core,1.4635089432722737,0.06662086234419964,0.023471870845654667,-0.012682005903621571,4.9356054305685476e-14
trusted_marginals,independent,1.6381184593706832,0.09837949142375649,0.20629238614243556,0.161927510194788,4.164613954180349e-17
trusted_marginals,j1,1.476561685788293,0.06654190413116676,0.05893706526179881,0.000370736612397633,0.022786052738948924
trusted_marginals,j2,1.4739851498721857,0.06764054336127306,0.05422700481444084,-0.0022057993037095614,0.020220307701936377
trusted_marginals,selected_order,1.4761909491758953,0.06698942233325413,0.05634164556621446,0.0,0.02133262691122253
trusted_marginals,selective_core,1.4643884070419286,0.06667061004245901,0.02635050347567903,-0.011802542133966561,0.0031523244238657573
trusted_marginals,weighted_geometric,1.4684021643610878,0.06620019935029188,0.04448378396233097,-0.00778878481480739,0.021700667948159374
underconfident_marginals,adaptive_soft,1.4876819365218636,0.06273706147972108,0.08913419170174333,-0.017278400394616904,0.05410487033957689
underconfident_marginals,arithmetic,1.4927474103890161,0.0616663411667014,0.09667531366983263,-0.012212926527464325,0.05026742389391256
underconfident_marginals,geometric,1.4868684566331742,0.06286422404377881,0.08759077323883009,-0.01809188028330636,0.05459444550727678
underconfident_marginals,hard_core,1.548980679576886,0.058390946408684516,0.16373546896781524,0.04402034266040546,7.340990641716981e-14
underconfident_marginals,independent,1.7271242398056854,0.08471528984578151,0.29790157431769554,0.22216390288920482,3.992640921113462e-17
underconfident_marginals,j1,1.5106284902777554,0.06004729049499279,0.11914129296036706,0.005668153361274864,0.04912126977071294
underconfident_marginals,j2,1.50479139587579,0.06332150465257994,0.11510407507342131,-0.00016894104069041128,0.05141357801711223
underconfident_marginals,selected_order,1.5049603369164806,0.061227383251077176,0.11505221842584494,0.0,0.05125992970755577
underconfident_marginals,selective_core,1.487361542419939,0.06277871986390073,0.08857197503224278,-0.017598794496541635,0.05453391183665143
underconfident_marginals,weighted_geometric,1.487361542419939,0.06277871986390073,0.08857197503224278,-0.017598794496541635,0.05453391183665143
