method,mean_nll,se_nll,mean_full_oracle_regret,median_full_oracle_regret,within_1e-4_of_oracle
selective_core,1.4836841598784858,0.005470315207243134,0.0007104060309343119,9.408187490811404e-05,50
arithmetic,1.4903442242693206,0.005553020956505207,0.007370470421769408,0.005041906722576539,21
geometric,1.4913819322025037,0.00558408104906973,0.008408178354952474,0.005571067625041892,12
soft_core_1,1.5005968924344115,0.005996749443806288,0.017623138586860217,0.010863242954246455,2
j2,1.5068461467979732,0.0069894207626489,0.023872392950422084,0.00896987788023762,11
j1,1.5144492265527112,0.006690693317921303,0.03147547270515994,0.01725851711091675,10
hard_core,1.5383427881477032,0.00847117709669908,0.05536903430015205,0.034602511092526544,0
