regime,method,expected_nll_mean,expected_nll_se,tv_to_truth_mean,js_to_truth_mean,marginal_distortion_mean
all_noisy,adaptive_soft,1.540670228266719,0.007648700456811983,0.1351137528069606,0.01626263072870441,0.0827449989222692
all_noisy,arithmetic,1.5386787923245253,0.007642893089695611,0.13349582484479136,0.015967577529145443,0.0848718450906671
all_noisy,geometric,1.5389318428719378,0.007670320565154018,0.1335173354423254,0.015861192907158216,0.08467439778260799
all_noisy,hard_core,1.673008557497788,0.008695590735855926,0.21266849761023962,0.044839358559936565,1.6377035841008362e-14
all_noisy,independent,1.8000635217354017,0.013924415482760103,0.2881757409879508,0.07894653691768125,4.201522600087176e-17
all_noisy,j1,1.6029541392316582,0.00799967938113089,0.18527929418739134,0.030319533727037867,0.08813051473465673
all_noisy,j2,1.602124312360071,0.008012134165592655,0.1846331945525943,0.030155179666224104,0.08161317544667748
all_noisy,selected_order,1.6023034819279673,0.007968147619426718,0.18465301183532234,0.03017479999321611,0.0842900648218986
all_noisy,soft_core_0.1,1.5416982865772138,0.0076910357638089,0.13601119571971007,0.016506672925736418,0.07905417383493696
all_noisy,soft_core_1,1.5660863820228446,0.00783648051239764,0.15563315178515005,0.022094268406913885,0.05188368708408765
all_noisy,soft_core_10,1.6382396748396062,0.008233825553061534,0.19720481897294728,0.0377314152213652,0.01299820785943503
all_noisy,weighted_geometric,1.5399051095251488,0.0076412363026234255,0.1344338546310324,0.016083970106803628,0.08461119086052704
conditionals_reliable,adaptive_soft,1.512713278114785,0.007528031894049266,0.10465428183893835,0.009699679614418531,0.07168172392513425
conditionals_reliable,arithmetic,1.5088299124472258,0.007506682675033356,0.0997889166559103,0.008812139986190537,0.07377826936911984
conditionals_reliable,geometric,1.5103283313409757,0.0075293868201409585,0.10192270321930884,0.009135360649352314,0.07286927845656915
conditionals_reliable,hard_core,1.6593113746848325,0.008762483140486353,0.20783523449242888,0.042507755268646606,2.8395709499423772e-14
conditionals_reliable,independent,1.7988374657067783,0.013941333927143132,0.28791495046612087,0.07879731528624787,4.2099677607909244e-17
conditionals_reliable,j1,1.5437651320923316,0.007691440729837167,0.1316160232899452,0.01676569675303438,0.07597790756156726
conditionals_reliable,j2,1.5490311730701398,0.007776120985811208,0.13946861202937408,0.01798308225030713,0.07157863117667246
conditionals_reliable,selected_order,1.545567779945215,0.007788451722593309,0.13419621290594885,0.01718135618063268,0.07457754758428106
conditionals_reliable,soft_core_0.1,1.515643286590341,0.0075663187599052766,0.10886230711336062,0.010410366400752076,0.06845016578184121
conditionals_reliable,soft_core_1,1.5489591010598807,0.007773801864109495,0.14294214645006786,0.01826667963121108,0.046079279768754144
conditionals_reliable,soft_core_10,1.6252779474553927,0.008246075429537479,0.19173850363011102,0.03532234642611186,0.011791122710027182
conditionals_reliable,weighted_geometric,1.510970858111939,0.007516993998858199,0.10236925566721698,0.009282610202995461,0.07307931516050692
j1_reliable,adaptive_soft,1.476081018731302,0.007355958953665819,0.030608578962361677,0.0008876218762574065,0.0667537477792066
j1_reliable,arithmetic,1.5030357708977713,0.007547302922704364,0.0934069877869357,0.007763165816597783,0.060367860016316735
j1_reliable,geometric,1.506015812632981,0.007589312674457187,0.09574634650155246,0.008208471800533294,0.06004016276313704
j1_reliable,hard_core,1.5806744496811214,0.007942339447803521,0.1489242187169082,0.024975427392009985,1.5073833424876252e-14
j1_reliable,independent,1.7310498298847126,0.013041695254921763,0.25365415275737585,0.06473502517509173,4.1803665228797836e-17
j1_reliable,j1,1.475308482678976,0.007417025434508555,0.027830770903830206,0.0006960516628904377,0.06964434344785389
j1_reliable,j2,1.6013608502928653,0.008088542313911313,0.18473151566300897,0.030189199720806408,0.05109137658477961
j1_reliable,selected_order,1.475308482678976,0.007417025434508555,0.027830770903830206,0.0006960516628904377,0.06964434344785389
j1_reliable,soft_core_0.1,1.5077459440253014,0.007608033295045114,0.09796483308739137,0.00862175230653172,0.05610416576543809
j1_reliable,soft_core_1,1.5215283714267187,0.007719665106126713,0.11173253978429706,0.011844051740610395,0.03705289833656114
j1_reliable,soft_core_10,1.560588979262447,0.007833812361918385,0.13845479871392055,0.020630610772205092,0.00955037328034334
