regime,seed,n,d,k,gamma,factorization_tv,selected_order_name,selected_pool_weight,selected_soft_weight,selected_soft_lambda,method,expected_nll,expected_brier,tv_to_truth,js_to_truth,marginal_distortion
uniform_low_noise,0,3000,12,3,2.0,0.07256674307144166,j2_a_then_b,0.25,0.25,0.03,j1,1.4727265467748651,0.6880989658082406,0.052025158952342256,0.0024405750270436836,0.025308737339815437
uniform_low_noise,0,3000,12,3,2.0,0.07256674307144166,j2_a_then_b,0.25,0.25,0.03,j2,1.4726346766595113,0.6880603277224979,0.05164224876469051,0.0024150152514351266,0.01935824234868344
uniform_low_noise,0,3000,12,3,2.0,0.07256674307144166,j2_a_then_b,0.25,0.25,0.03,selected_order,1.4726346766595113,0.6880603277224979,0.05164224876469051,0.0024150152514351266,0.01935824234868344
uniform_low_noise,0,3000,12,3,2.0,0.07256674307144166,j2_a_then_b,0.25,0.25,0.03,independent,1.5776302073405972,0.7100014273577181,0.16079696367557011,0.029160673378199217,3.6715133248469794e-17
uniform_low_noise,0,3000,12,3,2.0,0.07256674307144166,j2_a_then_b,0.25,0.25,0.03,arithmetic,1.4679410018619132,0.6863363616308414,0.0375115712543439,0.0012536242126463804,0.02233348984424942
uniform_low_noise,0,3000,12,3,2.0,0.07256674307144166,j2_a_then_b,0.25,0.25,0.03,geometric,1.4679429922263296,0.6863397838563475,0.03747793759349414,0.0012530323410776998,0.022318376745434198
uniform_low_noise,0,3000,12,3,2.0,0.07256674307144166,j2_a_then_b,0.25,0.25,0.03,weighted_geometric,1.4691062843698346,0.6867674503611015,0.04139770575260588,0.0015413872604120907,0.020832369991963924
uniform_low_noise,0,3000,12,3,2.0,0.07256674307144166,j2_a_then_b,0.25,0.25,0.03,hard_core,1.4761212473230718,0.6887009225872707,0.05718254375428739,0.00327217484104411,8.18017539556265e-15
uniform_low_noise,0,3000,12,3,2.0,0.07256674307144166,j2_a_then_b,0.25,0.25,0.03,soft_core_0.1,1.4681449739507262,0.6864004161548766,0.03812387837689158,0.0013032849824297522,0.02063862115149752
uniform_low_noise,0,3000,12,3,2.0,0.07256674307144166,j2_a_then_b,0.25,0.25,0.03,soft_core_1,1.4698996066554433,0.6869489059174883,0.04353080635153731,0.0017389171673481535,0.012748220154666923
uniform_low_noise,0,3000,12,3,2.0,0.07256674307144166,j2_a_then_b,0.25,0.25,0.03,soft_core_10,1.4742812061537884,0.6882166693113232,0.05382015291654713,0.0028208975594344217,0.002864500294727465
uniform_low_noise,0,3000,12,3,2.0,0.07256674307144166,j2_a_then_b,0.25,0.25,0.03,adaptive_soft,1.469125432333098,0.6867721702118328,0.041460141584258245,0.0015461274401355263,0.020338022534756205
uniform_low_noise,1,3000,12,3,2.0,0.07404091997752486,j2_a_then_b,0.25,0.25,0.3,j1,1.4770836648868046,0.6848176511656202,0.052094405193761684,0.0024632090360404697,0.025499561474080955
uniform_low_noise,1,3000,12,3,2.0,0.07404091997752486,j2_a_then_b,0.25,0.25,0.3,j2,1.4770114445338047,0.6847840273902921,0.05213976637543827,0.0024459942382692662,0.02540444924341349
uniform_low_noise,1,3000,12,3,2.0,0.07404091997752486,j2_a_then_b,0.25,0.25,0.3,selected_order,1.4770114445338047,0.6847840273902921,0.05213976637543827,0.0024459942382692662,0.02540444924341349
uniform_low_noise,1,3000,12,3,2.0,0.07404091997752486,j2_a_then_b,0.25,0.25,0.3,independent,1.7451327512770463,0.7383498516508622,0.27991080776285404,0.07177146611314145,3.87474969493891e-17
uniform_low_noise,1,3000,12,3,2.0,0.07404091997752486,j2_a_then_b,0.25,0.25,0.3,arithmetic,1.4720456461160258,0.6829951884902465,0.03662819616476534,0.001215734036609884,0.02545200535874721
uniform_low_noise,1,3000,12,3,2.0,0.07404091997752486,j2_a_then_b,0.25,0.25,0.3,geometric,1.4720470182235572,0.6830023177538246,0.036655490256375614,0.0012148654347714175,0.025450479191563912
uniform_low_noise,1,3000,12,3,2.0,0.07404091997752486,j2_a_then_b,0.25,0.25,0.3,weighted_geometric,1.4732801702749867,0.6834432338631026,0.041060917230289914,0.0015213143178459114,0.025425862017297643
uniform_low_noise,1,3000,12,3,2.0,0.07404091997752486,j2_a_then_b,0.25,0.25,0.3,hard_core,1.4866776398768222,0.6858625908355938,0.06370188017204542,0.0047928762069585325,3.312771863220617e-14
uniform_low_noise,1,3000,12,3,2.0,0.07404091997752486,j2_a_then_b,0.25,0.25,0.3,soft_core_0.1,1.4722722385176763,0.6830703205198502,0.03743932864260704,0.0012709223602180423,0.024051585025131255
uniform_low_noise,1,3000,12,3,2.0,0.07404091997752486,j2_a_then_b,0.25,0.25,0.3,soft_core_1,1.4742433365179886,0.6835986576779496,0.043262270256951334,0.0017600916050548691,0.016940341388804143
uniform_low_noise,1,3000,12,3,2.0,0.07404091997752486,j2_a_then_b,0.25,0.25,0.3,soft_core_10,1.4816997359696067,0.6850751573046706,0.057445676605421464,0.0035908180656995434,0.004872326463875633
uniform_low_noise,1,3000,12,3,2.0,0.07404091997752486,j2_a_then_b,0.25,0.25,0.3,adaptive_soft,1.4735132630091998,0.6834529253219258,0.041554117959488115,0.0015792024557020501,0.02188052579170518
uniform_low_noise,2,3000,12,3,2.0,0.07499121896630215,j1_b_then_a,1.0,1.0,0.03,j1,1.4998344106273047,0.6959408714375438,0.05243521472598516,0.0024799517313030825,0.025101704965477693
uniform_low_noise,2,3000,12,3,2.0,0.07499121896630215,j1_b_then_a,1.0,1.0,0.03,j2,1.5000035883918326,0.6960530823931298,0.05298369942683791,0.0025218501838717967,0.02471698022304712
uniform_low_noise,2,3000,12,3,2.0,0.07499121896630215,j1_b_then_a,1.0,1.0,0.03,selected_order,1.4998344106273047,0.6959408714375438,0.05243521472598516,0.0024799517313030825,0.025101704965477693
uniform_low_noise,2,3000,12,3,2.0,0.07499121896630215,j1_b_then_a,1.0,1.0,0.03,independent,1.7174473688120622,0.7407759696167604,0.24172450129276593,0.06120440662658124,4.162033643317369e-17
uniform_low_noise,2,3000,12,3,2.0,0.07499121896630215,j1_b_then_a,1.0,1.0,0.03,arithmetic,1.4948485831385272,0.6941492469292151,0.03726137543044042,0.0012461102119701267,0.02490934259426239
uniform_low_noise,2,3000,12,3,2.0,0.07499121896630215,j1_b_then_a,1.0,1.0,0.03,geometric,1.4948578451891938,0.694157043975508,0.03729819228579998,0.001247276391390935,0.02491046967448781
uniform_low_noise,2,3000,12,3,2.0,0.07499121896630215,j1_b_then_a,1.0,1.0,0.03,weighted_geometric,1.499834410627305,0.6959408714375438,0.05243521472598516,0.0024799517313030864,0.025101704965477707
uniform_low_noise,2,3000,12,3,2.0,0.07499121896630215,j1_b_then_a,1.0,1.0,0.03,hard_core,1.5081015396454411,0.6969680171498182,0.06303377673613615,0.0044998208138126855,1.1892812705323649e-14
uniform_low_noise,2,3000,12,3,2.0,0.07499121896630215,j1_b_then_a,1.0,1.0,0.03,soft_core_0.1,1.4950699604309483,0.6942205575427765,0.038054717893926907,0.0013001942032180335,0.02338574855754807
uniform_low_noise,2,3000,12,3,2.0,0.07499121896630215,j1_b_then_a,1.0,1.0,0.03,soft_core_1,1.4969483272554078,0.6947519055216888,0.04389163725063433,0.001767570120033708,0.015934516632282156
uniform_low_noise,2,3000,12,3,2.0,0.07499121896630215,j1_b_then_a,1.0,1.0,0.03,soft_core_10,1.5035644549956977,0.6961975404996018,0.05714889593895514,0.003400144741342186,0.004483215581800688
uniform_low_noise,2,3000,12,3,2.0,0.07499121896630215,j1_b_then_a,1.0,1.0,0.03,adaptive_soft,1.4996287264582344,0.6958448235593898,0.05181689770422094,0.0024291347894974747,0.024705586162303835
uniform_low_noise,3,3000,12,3,2.0,0.07284701461695613,j2_a_then_b,0.5,0.5,0.03,j1,1.494706850959368,0.6923373462736957,0.05245826472382942,0.0024660402424789784,0.02555515703330398
uniform_low_noise,3,3000,12,3,2.0,0.07284701461695613,j2_a_then_b,0.5,0.5,0.03,j2,1.4944326592945993,0.6923008530204591,0.052139809244452405,0.002397944228893,0.024351751857170832
uniform_low_noise,3,3000,12,3,2.0,0.07284701461695613,j2_a_then_b,0.5,0.5,0.03,selected_order,1.4944326592945993,0.6923008530204591,0.052139809244452405,0.002397944228893,0.024351751857170832
uniform_low_noise,3,3000,12,3,2.0,0.07284701461695613,j2_a_then_b,0.5,0.5,0.03,independent,1.7447625286551456,0.7445251927314052,0.276145767569361,0.06723430800178706,4.145282268001562e-17
uniform_low_noise,3,3000,12,3,2.0,0.07284701461695613,j2_a_then_b,0.5,0.5,0.03,arithmetic,1.4897641291127715,0.6905577215912804,0.037340000707816,0.0012421327547673055,0.024953454445237392
uniform_low_noise,3,3000,12,3,2.0,0.07284701461695613,j2_a_then_b,0.5,0.5,0.03,geometric,1.48977118152723,0.6905642177369611,0.03734543965042892,0.0012428365616617971,0.024954161085186298
uniform_low_noise,3,3000,12,3,2.0,0.07284701461695613,j2_a_then_b,0.5,0.5,0.03,weighted_geometric,1.48977118152723,0.6905642177369611,0.03734543965042892,0.0012428365616617971,0.024954161085186298
uniform_low_noise,3,3000,12,3,2.0,0.07284701461695613,j2_a_then_b,0.5,0.5,0.03,hard_core,1.5032457452580315,0.6933851641156371,0.0632538483049018,0.004557585494112205,4.026352475530968e-14
uniform_low_noise,3,3000,12,3,2.0,0.07284701461695613,j2_a_then_b,0.5,0.5,0.03,soft_core_0.1,1.4899891704450725,0.6906287650635821,0.03808490306448633,0.0012969361669427477,0.023562114793619058
uniform_low_noise,3,3000,12,3,2.0,0.07284701461695613,j2_a_then_b,0.5,0.5,0.03,soft_core_1,1.4919131310301528,0.6911427570793636,0.043761185850154136,0.0017740822178680836,0.016483642460891828
uniform_low_noise,3,3000,12,3,2.0,0.07284701461695613,j2_a_then_b,0.5,0.5,0.03,soft_core_10,1.4989115966838977,0.6926154941530739,0.05735393419766329,0.0034999040956728527,0.004613537258611222
uniform_low_noise,3,3000,12,3,2.0,0.07284701461695613,j2_a_then_b,0.5,0.5,0.03,adaptive_soft,1.489835445408845,0.6905833989655747,0.037564761461975904,0.0012587857090681504,0.024510260468000183
uniform_low_noise,4,3000,12,3,2.0,0.07681036099841908,j1_b_then_a,0.75,0.75,0.03,j1,1.5717736189392584,0.7264457407588456,0.05511584327978047,0.0026070512694940234,0.026143124713740886
uniform_low_noise,4,3000,12,3,2.0,0.07681036099841908,j1_b_then_a,0.75,0.75,0.03,j2,1.5715936875995664,0.7263084792380946,0.054145183645603286,0.00256146146991515,0.02535874674063629
uniform_low_noise,4,3000,12,3,2.0,0.07681036099841908,j1_b_then_a,0.75,0.75,0.03,selected_order,1.5717736189392584,0.7264457407588456,0.05511584327978047,0.0026070512694940234,0.026143124713740886
uniform_low_noise,4,3000,12,3,2.0,0.07681036099841908,j1_b_then_a,0.75,0.75,0.03,independent,1.7967956441902035,0.7772091571415343,0.2597282051867876,0.06464911214588791,3.828834787019594e-17
uniform_low_noise,4,3000,12,3,2.0,0.07681036099841908,j1_b_then_a,0.75,0.75,0.03,arithmetic,1.5665188405068988,0.7245244412247096,0.03873781342707492,0.0013044118882639697,0.025750935727188572
uniform_low_noise,4,3000,12,3,2.0,0.07681036099841908,j1_b_then_a,0.75,0.75,0.03,geometric,1.5665179488418883,0.7245299249941213,0.03872739962604227,0.00130331116674705,0.02575611595164721
uniform_low_noise,4,3000,12,3,2.0,0.07681036099841908,j1_b_then_a,0.75,0.75,0.03,weighted_geometric,1.5678552618680404,0.7250268628863483,0.04357038976300835,0.001635784293754309,0.025948582389514377
uniform_low_noise,4,3000,12,3,2.0,0.07681036099841908,j1_b_then_a,0.75,0.75,0.03,hard_core,1.5795327463982516,0.7274294276630784,0.06504545997786398,0.004500907448772089,1.661132879921355e-14
